scope,encoder,metric,k,value,n_subjects,n_segments,n_dims,use_pca
global,cbramod,norm_entropy,10,0.1322736985587732,200,74540,200,False
global,cbramod,norm_entropy,11,0.12523298540696623,200,74540,200,False
global,cbramod,norm_entropy,12,0.12121491272186584,200,74540,200,False
global,cbramod,norm_entropy,13,0.12042342994776009,200,74540,200,False
global,cbramod,norm_entropy,14,0.11914531767065016,200,74540,200,False
global,cbramod,norm_entropy,15,0.11371364145983719,200,74540,200,False
global,cbramod,norm_entropy,16,0.11383475296762902,200,74540,200,False
global,cbramod,norm_entropy,17,0.11486479647639226,200,74540,200,False
global,cbramod,norm_entropy,18,0.11443961159760689,200,74540,200,False
global,cbramod,norm_entropy,19,0.19854910529425523,200,74540,200,False
global,cbramod,norm_entropy,20,0.22610563150211122,200,74540,200,False
global,eegpt,dbi,3,0.8847276669885621,200,74540,2048,False
global,eegpt,dbi,4,0.7242057806021077,200,74540,2048,False
global,eegpt,dbi,5,0.8415155059758652,200,74540,2048,False
global,eegpt,dbi,6,0.8899137584234026,200,74540,2048,False
global,eegpt,dbi,7,0.9358835420286926,200,74540,2048,False
global,eegpt,dbi,8,1.1625932743969265,200,74540,2048,False
global,eegpt,dbi,9,1.1075172083410543,200,74540,2048,False
global,eegpt,dbi,10,1.023246857980059,200,74540,2048,False
global,eegpt,dbi,11,1.1148679425543917,200,74540,2048,False
global,eegpt,dbi,12,1.1591006000381914,200,74540,2048,False
global,eegpt,dbi,13,1.0316139681746523,200,74540,2048,False
global,eegpt,dbi,14,1.096072755792755,200,74540,2048,False
global,eegpt,dbi,15,1.1719692055720692,200,74540,2048,False
global,eegpt,dbi,16,1.3817190077901897,200,74540,2048,False
global,eegpt,dbi,17,1.2239794031505151,200,74540,2048,False
global,eegpt,dbi,18,1.1418317531466802,200,74540,2048,False
global,eegpt,dbi,19,1.13235480086688,200,74540,2048,False
global,eegpt,dbi,20,1.1860609398119906,200,74540,2048,False
global,eegpt,wcss,3,62565675.09373567,200,74540,2048,False
global,eegpt,wcss,4,48438755.99289822,200,74540,2048,False
global,eegpt,wcss,5,43217828.065276936,200,74540,2048,False
global,eegpt,wcss,6,37154428.24645184,200,74540,2048,False
global,eegpt,wcss,7,34102045.3520436,200,74540,2048,False
global,eegpt,wcss,8,32995107.72578831,200,74540,2048,False
global,eegpt,wcss,9,32150129.5296471,200,74540,2048,False
global,eegpt,wcss,10,31464512.84442655,200,74540,2048,False
global,eegpt,wcss,11,31204685.036806393,200,74540,2048,False
global,eegpt,wcss,12,30671563.154628143,200,74540,2048,False
global,eegpt,wcss,13,28623875.462211832,200,74540,2048,False
global,eegpt,wcss,14,28153423.052536648,200,74540,2048,False
global,eegpt,wcss,15,27959536.402424976,200,74540,2048,False
global,eegpt,wcss,16,27723021.49325349,200,74540,2048,False
global,eegpt,wcss,17,27728733.54505284,200,74540,2048,False
global,eegpt,wcss,18,26533650.51897743,200,74540,2048,False
global,eegpt,wcss,19,26463478.315273136,200,74540,2048,False
global,eegpt,wcss,20,26308072.518645845,200,74540,2048,False
global,eegpt,norm_entropy,3,0.08861038512802201,200,74540,2048,False
global,eegpt,norm_entropy,4,0.0729655029510938,200,74540,2048,False
global,eegpt,norm_entropy,5,0.06886674543717969,200,74540,2048,False
